bac,mention,filière,type_etu,domaine_etu,type_lieu_etu,pays_bac,tranche_age,genre,Niveau_etu,type_cours,satisfact_formation,Col_specialite1,Col_specialite2,Col_matière_prefere1,Col_matière_prefere2,Col_domaine_activite_pro1
SCIENTIFIQUE (ÉQUIVALENT),ASSEZ-BIEN,MIASHS,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,UNIVERSITÉ,FRANCE,18-21,MASCULIN,MASTER,PRÉSENTIEL,OUI,MATHÉMATIQUES,PAS DE SPÉ,MATHÉMATIQUES,PHYSIQUE-CHIMIE (PC),DOMAINE DE LA DATA
SCIENTIFIQUE (ÉQUIVALENT),BIEN,MIASHS,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,UNIVERSITÉ,AFRIQUE,12-17,MASCULIN,MASTER,PRÉSENTIEL,OUI,MATHÉMATIQUES,PHYSIQUE-CHIMIE (PC),MATHÉMATIQUES,PHYSIQUE-CHIMIE (PC),ACTUAIRE
SCIENTIFIQUE (ÉQUIVALENT),HONORABLE,MPCSI,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,CLASSE PRÉPARATOIRE,FRANCE,12-17,MASCULIN,MASTER,PRÉSENTIEL,OUI,SCIENCES DE L'INGÉNIEUR,PAS DE SPÉ,MATHÉMATIQUES,PHYSIQUE-CHIMIE (PC),MATHS APPLIQUÉES
ECONOMIE ET SOCIALE (ÉQUIVALENT),ASSEZ-BIEN,MEEF OU ENPJJ,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,BUT,FRANCE,18-21,FÉMININ,BACHELOR,PRÉSENTIEL,OUI,SCIENCES ÉCONOMIQUES ET SOCIALES,HUMANITÉS,PHILOSOPHIE,ART,ÉDUCATION
SCIENTIFIQUE (ÉQUIVALENT),BIEN,SCIENCES POLITIQUES,LONGUES (>= MASTER),DROIT ET SCIENCES POLITIQUES,UNIVERSITÉ,FRANCE,12-17,MASCULIN,LICENCE,PRÉSENTIEL,OUI,MATHÉMATIQUES,PHYSIQUE-CHIMIE (PC),MATHÉMATIQUES,PHILOSOPHIE,ADMINISTRATION PUBLIQUE
SCIENTIFIQUE (ÉQUIVALENT),ASSEZ-BIEN,INFORMATIQUE,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,UNIVERSITÉ,FRANCE,12-17,MASCULIN,BAC,HYBRIDES,OUI,MATHÉMATIQUES,PHYSIQUE-CHIMIE (PC),MATHÉMATIQUES,SCIENCES NUMÉRIQUES ET TECHNOLOGIE,DÉVELOPPEMENT DE LOGICIELS
TECHNIQUE (ÉQUIVALENT),TRÈS-BIEN,INFORMATIQUE,COURTES ( < MASTER),SCIENCES ET TECHNOLOGIES,BUT,FRANCE,18-21,MASCULIN,MASTER,LIGNE,OUI,PHYSIQUE-CHIMIE (PC),NUMÉRIQUES ET SCIENCES INFORMATIQUES,SCIENCES NUMÉRIQUES ET TECHNOLOGIE,NON RENSEIGNÉ,BANQUE ASSURANCE
SCIENTIFIQUE (ÉQUIVALENT),PASSABLE,ARTS PLASTIQUES,LONGUES (>= MASTER),ARTS,UNIVERSITÉ,FRANCE,12-17,FÉMININ,LICENCE,HYBRIDES,NON,SCIENCES HUMAINES,LITTÉRATURE ET PHILOSOPHIE,PHILOSOPHIE,ART,ANIMATION
LITTÉRAIRE (ÉQUIVALENT),ASSEZ-BIEN,ANGLAIS,LONGUES (>= MASTER),"LETTRES, LANGUES ET ART",UNIVERSITÉ,FRANCE,18-21,FÉMININ,LICENCE,PRÉSENTIEL,OUI,MATHÉMATIQUES,HUMANITÉS,FRANÇAIS,LANGUES ÉTRANGÈRES,TOURISME
LITTÉRAIRE (ÉQUIVALENT),TRÈS-BIEN,ARTS PLASTIQUES,LONGUES (>= MASTER),ARTS,UNIVERSITÉ,FRANCE,12-17,FÉMININ,BAC,PRÉSENTIEL,OUI,ARTS,LANGUES,PHILOSOPHIE,ART,LA MODÉLISATION 3D
SCIENTIFIQUE (ÉQUIVALENT),TRÈS-BIEN,MÉDECINE,LONGUES (>= MASTER),SCIENCES DE LA VIE ET DE LA SANTÉ,UNIVERSITÉ,FRANCE,12-17,MASCULIN,LICENCE,PRÉSENTIEL,OUI,MATHÉMATIQUES,PAS DE SPÉ,MATHÉMATIQUES,PHYSIQUE-CHIMIE (PC),NON RENSEIGNÉ
SCIENTIFIQUE (ÉQUIVALENT),PASSABLE,INFORMATIQUE,COURTES ( < MASTER),SCIENCES ET TECHNOLOGIES,UNIVERSITÉ,FRANCE,18-21,MASCULIN,MASTER,PRÉSENTIEL,OUI,MATHÉMATIQUES,PAS DE SPÉ,SCIENCES NUMÉRIQUES ET TECHNOLOGIE,NON RENSEIGNÉ,NON RENSEIGNÉ
