Horodateur,Score,Quel type de baccalauréat avez-vous obtenu?,Dans quelles disciplines avez-vous décidé de vous spécialiser lors de votre cursus de baccalauréat (vos spécialités) ?,Dans quelles matières  vous sentez-vous le plus compétent ?,Quelle a été votre mention au baccalauréat?,Quelle filière d'études avez-vous décidé de poursuivre à l'université ou dans l'enseignement supérieur ?,"Avez-vous eu une préférence pour des études :
",Quels domaines d'études ou de formation universitaire avez-vous choisi de poursuivre ?,Avez-vous eu une préférence pour :,Dans quel pays avez-vous passé le baccalauréat?,Quels secteurs professionnels suscitent votre intérêt ou correspondent à votre domaine d'activité actuel ?,Quel était votre tranche d'âge au moment de l'obtention votre bac?,Quel est votre genre ?,"Question optionnelle:

Quelles sont vos qualités personnelles?","Question optionnelle:
 Avez-vous des loisirs, des hobbies ou des activités extra-scolaires qui vous passionnent ?","Question optionnelle:

Quelle a été la manière dont vous avez découvert ou choisi votre orientation académique ou votre domaine d'études ?",Quel est votre Niveau d'étude ?,Quels sont vos centres d'intérêt principaux?,Quel est votre pays de résidence?,Êtes-vous plus à l'aise avec des cours en :,"Question optionnelle:
Pouvez-vous formuler une remarque ou avez-vous quelque chose à ajouter ?",Quelle est l'année d'obtention de votre bac?,Êtes-vous content de la filière que vous avez choisie ?,Adresse e-mail,Dans quel établissement d'enseignement supérieur poursuivez-vous actuellement vos études ou avez-vous suivi votre formation ?
23/11/2023 13:48:45,,Scientifique (équivalent),Mathématiques,"Mathématiques, Physique-chimie (PC), Sciences de la vie et de la Terre (SVT), Histoire - Géographie, Éducation physique et sportive, Education Civique et Morale",Assez-bien,Licence MIASHS parcours MASS,Longues (>= master),Sciences et technologies,Université,France,data science,18-21,Masculin,"BG, drôle ",,Conseillère d'orientation,Master,"Sciences, Sport et Fitness, Technologie et Informatique, Musique, Jeux vidéos , manga ",France,présentiel,"vu que j'ai répondu à votre questionnaire , je veux 10 balles",2017,Oui,,Université de Lille
23/11/2023 13:17:13,,Scientifique (équivalent),"Mathématiques, Physique-chimie (PC), Numériques et sciences informatiques","Mathématiques, Physique-chimie (PC), Français, Sciences numériques et technologie",Bien,Génie civil et Hydraulique puis Mathématiques et informatique ,Longues (>= master),Sciences et technologies,Université,Burkina Faso ,Actuaire,12-17,Masculin,Calme et réservé ,,Mathématiques ,Master,"Sciences, Sport et Fitness, Technologie et Informatique, Santé et Bien-être, Ingénierie",France ,présentiel,RAS,2012,Oui,,2ie puis UO puis U Lille 
23/11/2023 00:19:26,,Scientifique (équivalent),Sciences de l'ingénieur,"Mathématiques, Physique-chimie (PC)",Honorable,CPGE MPSI,Longues (>= master),Sciences et technologies,classe préparatoire,France,Maths appliquées,12-17,Masculin,,,,Master,"Sciences, Technologie et Informatique, Ingénierie",France,présentiel,,2019,Oui,,ENS Paris-Saclay
13/11/2023 19:09:32,,Général ,"Sciences économiques et sociales, Humanités, littérature et philosophie, Langues, littératures et cultures étrangères","Philosophie, Art, Français, Sciences économiques et sociales, Langues étrangères, Education Civique et Morale",Assez-bien,Master MEEF ou ENPJJ,Longues (>= master),Sciences de l'éducation et de la formation,BUT,France ,Éducation ,18-21,Féminin,,,,BUT,"Arts, Nature et Environnement, Voyages, Histoire et Archéologie, Musique, Philanthropie et Bénévolat, Photographie, Théâtre et arts de la scène, Cinema",France ,présentiel,,2022,Oui,,IUT B (Tourcoing)
01/11/2023 20:29:44,,Scientifique (équivalent),"Mathématiques, Physique-chimie (PC), Sciences économiques et sociales, Allemand euro","Mathématiques, Philosophie, Histoire - Géographie, Sciences économiques et sociales, Langues étrangères, Sciences politiques",Bien,licence science politique option ESJ,Longues (>= master),Droit et sciences politiques,Université,France,"Administration publique, humanitaire, diplomatie, renseignement",12-17,Masculin,"Curieux, sûr de soi, ambitieux, éloquent, à l’écoute, gentil ",,"Une passion pour la politique et la géopolitique, qui était en quelque sorte mon second vœux, car je me prédestiné plutôt à la médecine ou la physique. Obtenir licence sc po - ESJ était pas dans mes priorités mais j’ai souhaité faire ce cursus comme au culot plutôt que saint Cyr, ou fac médecine..",Licence,"Arts, Nature et Environnement, Cuisine et Gastronomie, Voyages, Histoire et Archéologie, Musique, Science politique et Affaires publiques, Théâtre et arts de la scène, Cinema",France ,présentiel,,2022,Oui,,Université de Lille - ESJ
30/10/2023 20:29:06,,Scientifique (équivalent),"Mathématiques, Physique-chimie (PC), Numériques et sciences informatiques","Mathématiques, Sciences numériques et technologie",Assez-bien,Licence Informatique ,Longues (>= master),Sciences et technologies,Université,France ,Développement Logiciel ,12-17,Masculin,,,,Bac,"Sciences, Technologie et Informatique, Musique",France,hybrides,,2021,Oui,,Université de Lille
28/10/2023 12:07:01,,Technique (équivalent),"Électronique, Informatique et Industrie",Informatique,Très-bien,DUT Informatique,Courtes ( < master),Sciences et technologies,BUT,France,Banque Assurance Start Ups SP,18-21,Masculin,,,,Master,"Sciences, Arts, Technologie et Informatique, Nature et Environnement, Ingénierie",France,ligne,,2016,Oui,,Université Gustave Eiffel
27/10/2023 23:00:02,,Général (mention européenne),"Humanités, littérature et philosophie, Arts, Langues, littératures et cultures étrangères, Cinéma Audiovisuel mention européenne ","Philosophie, Art, Français, Sciences numériques et technologie, Langues étrangères, Communication et rédaction",Passable,Licence Arts Plastiques ,Longues (>= master),Art,DNMADE Animation 2D,France ,"Animation, Illustration, Jeux Vidéos, Mangas,etc.",12-17,Féminin,,,Parcoursup ,Licence,"Arts, Cuisine et Gastronomie, Voyages, Musique, Mode et Design, Photographie, Cinema",France ,hybrides,,2023,Non,,Université de Lille
27/10/2023 22:51:30,,Littéraire (équivalent),"Mathématiques, Humanités, littérature et philosophie, Langues, littératures et cultures étrangères","Français, Langues étrangères",Assez-bien,LLCER Anglais,Longues (>= master),"Lettres, langues et art",Université,France,"Tourisme, relations internationales, linguistique ",18-21,Féminin,Curiosité et ouverture d’esprit ,,"En partant à l’étranger, j’ai apprécié parler anglais",Licence,"Nature et Environnement, Cuisine et Gastronomie, Voyages, Musique, Cinema",France,présentiel,,2021,Oui,,Université de Lille
27/10/2023 16:30:09,,Général spé+ option arts plastiques et spé AMC,"Arts, Langues, littératures et cultures étrangères","Philosophie, Art, Langues étrangères",Très-bien,Arts plastiques ,Longues (>= master),Art,Université,France,Pour le moment je pense m'orienter vers le secteur de la modélisation 3D ou du design textile,12-17,Féminin,,,,Bac,"Arts, Sport et Fitness, Nature et Environnement, Cuisine et Gastronomie, Voyages, Mode et Design",France ,présentiel,,2022,Oui,,Université de Lille - site de Tourcoing
27/10/2023 13:33:36,,Scientifique (équivalent),Mathématiques,"Mathématiques, Physique-chimie (PC), Sciences de la vie et de la Terre (SVT), Sciences numériques et technologie",Très-bien,Médecine,Longues (>= master),Sciences de la vie et de la santé,Université,France,,12-17,Masculin,,,"Le site de l'Onisep, en début de 1ère",Licence,"Sciences, Technologie et Informatique",France,présentiel,,2020,Oui,,Université de Lille
27/10/2023 07:37:21,,Scientifique (équivalent),Mathématiques,Sciences numériques et technologie,Passable,Informatique,Courtes ( < master),Sciences et technologies,Université,France ,,18-21,Masculin,,,,Master,"Sciences, Technologie et Informatique, Ingénierie",France ,présentiel,,2017,Oui,,Lille1 
27/10/2023 03:06:35,,Les 3: J'ai fais HGGSP/HLP/Math '^',"Mathématiques, Histoire-géographie ( HGGSP ), Humanités, littérature et philosophie","Philosophie, Art, Langues étrangères, Education Civique et Morale",Assez-bien,Lincense Art plastique,Longues (>= master),Art,Université,France,Prof,18-21,Masculin,,,Parcoursup,Bac,"Arts, Mode et Design, Théâtre et arts de la scène, Cinema",France,présentiel,,2023,Oui,,Université de Lille
27/10/2023 00:36:50,,Scientifique (équivalent),Physique-chimie (PC),"Aujourd'hui : Informatique, lors du bac : Chimie",Bien,L1 SESI puis Licence au FIL,Longues (>= master),Sciences et technologies,classe préparatoire,France,,18-21,Féminin,,,,Ingénieur,"Sciences, Sport et Fitness, Technologie et Informatique, Nature et Environnement, Cuisine et Gastronomie, Histoire et Archéologie, Musique, Philanthropie et Bénévolat, Mode et Design, Science politique et Affaires publiques, Santé et Bien-être, Théâtre et arts de la scène, Cinema, ...",France,présentiel,,2017,Oui,,Fac au FIL puis Polytech'Lille
26/10/2023 23:44:04,,Littéraire (équivalent),"Humanités, littérature et philosophie, Arts, Littérature, langues et culture de l'Antiquité","Histoire - Géographie, Art, Langues étrangères",Assez-bien,licence arts-plastiques,Longues (>= master),"Lettres, langues et art",Université,France,Art thérapie,12-17,Féminin,,,Salon de l’étudiant,Licence,"Arts, Voyages, Histoire et Archéologie, Musique, Photographie, Santé et Bien-être",France,présentiel,,2023,Oui,,Tourcoing
26/10/2023 23:23:48,,Professionnel ,Mode,Français,Passable,Art,Longues (>= master),Art,Université,France ,Mode,12-17,Féminin,L'imagination,,.,Licence,Mode et Design,France ,présentiel,Non,2023,Oui,,Université de Tourcoing 
26/10/2023 22:44:06,,Littéraire (équivalent),"Sciences de la vie et de la Terre (SVT), Histoire-géographie ( HGGSP ), Langues, littératures et cultures étrangères","Art, Langues étrangères",Assez-bien,art,Longues (>= master),"Lettres, langues et art",Université,France,professeur d’art,12-17,Masculin,,,,Licence,"Arts, Nature et Environnement, Musique, Mode et Design",France,présentiel,,2021,Oui,,Faculté de lille license art plastique
26/10/2023 22:18:12,,Art et histoire ,"Histoire-géographie ( HGGSP ), Arts","Histoire - Géographie, Art",Assez-bien,arts plastiques,Longues (>= master),Art,Université,France,Professeur d’art ,12-17,Masculin,"Gentille, serviable ",,,Bac,"Arts, Cuisine et Gastronomie, Musique, Mode et Design, Photographie, Cinema",France,hybrides,,2022-2023,Oui,,Université de Lille à Tourcoing 
26/10/2023 21:53:27,,Littéraire (équivalent),"Sciences économiques et sociales, Arts","Français, Langues étrangères, Communication et rédaction",Assez-bien,Licence,Longues (>= master),Art,Université,France ,,18-21,Féminin,,,,Bac,Arts,,présentiel,,2023,Oui,,Campus de Tourcoing 
26/10/2023 21:11:16,,Général,"Physique-chimie (PC), Sciences de la vie et de la Terre (SVT), Arts",Art,Passable,Licence en Art et visuel ,Courtes ( < master),Art,Université,France,art,12-17,Féminin,,,,Bac,"Arts, Nature et Environnement, Histoire et Archéologie, Cinema",France,hybrides,,2022-2023,Oui,,Université de Lille (pont-de-bois)
26/10/2023 20:22:09,,Littéraire (équivalent),"Arts, Anglais Monde Contemporain","Art, Langues étrangères",Passable,Licence d'Arts Plastiques et Visuels ,Courtes ( < master),Art,Université,France ,,18-21,Masculin,,,,Licence,"Arts, Musique, Théâtre et arts de la scène",France ,présentiel,,2023,Oui,,
26/10/2023 20:02:17,,Scientifique (équivalent),"Mathématiques, Physique-chimie (PC)","Éducation physique et sportive, Langues étrangères",Passable,Arts Plastiques et Visuels,Longues (>= master),"Lettres, langues et art",ENSA,France (Guyane Française),Architecture (Bâtiment et Intérieur),12-17,Masculin,,,,Licence,"Arts, Ingénierie",France,présentiel,,2023,Oui,,"Université de Lille - Pôle Arts Plastiques et Visuels, Tourcoing"
